time,hr,dist,speed
419,151,1147.55,3.02000000000021
420,147,1150.58,3.02999999999997
421,147,1153.58,3
422,147,1156.58,3
423,147,1159.58,3
424,147,1162.59,3.00999999999976
425,154,1165.59,3.00000000000023
426,154,1168.58,2.99000000000001
427,154,1171.57,2.98999999999978
428,154,1174.54,2.97000000000025
429,154,1177.5,2.95999999999981
430,157,1180.44,2.94000000000005
431,157,1183.38,2.94000000000005
432,157,1186.29,2.90999999999985
433,157,1189.18,2.8900000000001
434,157,1192.08,2.89999999999986
435,161,1194.98,2.90000000000032
436,161,1197.89,2.90999999999985
437,161,1200.8,2.91000000000008
438,161,1203.72,2.91999999999985
439,161,1206.66,2.94000000000005
440,164,1209.6,2.93999999999983
441,164,1212.53,2.93000000000029
442,164,1215.46,2.93000000000006
443,164,1218.38,2.91999999999985
444,164,1221.28,2.90000000000009
445,158,1224.17,2.8900000000001
446,158,1227.04,2.86999999999989
447,158,1229.9,2.8599999999999
448,158,1232.77,2.87000000000012
449,158,1235.63,2.8599999999999
450,157,1238.5,2.87000000000012
451,157,1241.37,2.86999999999989
452,157,1244.25,2.87999999999988
453,157,1247.16,2.91000000000008
454,157,1250.07,2.90999999999985
455,157,1253,2.93000000000006
456,157,1255.93,2.93000000000029
457,157,1258.84,2.90999999999985
458,157,1261.75,2.91000000000008
459,157,1264.66,2.90999999999985
460,154,1267.57,2.91000000000008
461,154,1270.5,2.93000000000006
462,154,1273.41,2.90999999999985
463,154,1276.33,2.92000000000007
464,154,1279.26,2.92999999999984
465,150,1282.18,2.92000000000007
466,150,1285.1,2.92000000000007
467,150,1288.04,2.93999999999983
468,150,1291,2.96000000000026
469,150,1293.95,2.94999999999982
470,153,1296.91,2.96000000000004
471,153,1299.88,2.97000000000003
472,153,1302.85,2.97000000000003
473,153,1305.81,2.96000000000004
474,153,1308.76,2.95000000000005
475,157,1311.72,2.95999999999981
476,157,1314.66,2.94000000000005
477,157,1317.6,2.94000000000005
478,157,1320.54,2.93999999999983
479,157,1323.47,2.93000000000029
480,154,1326.43,2.95999999999981
481,154,1329.4,2.97000000000003
482,154,1332.37,2.97000000000003
483,154,1335.35,2.98000000000002
484,154,1338.3,2.94999999999982
485,156,1341.25,2.95000000000005
486,156,1344.18,2.93000000000006
487,156,1347.08,2.90000000000009
488,156,1349.98,2.90000000000009
489,156,1352.87,2.88999999999987
490,163,1355.75,2.87999999999988
491,163,1358.64,2.8900000000001
492,163,1361.52,2.87999999999988
493,163,1364.4,2.88000000000011
494,163,1367.28,2.87999999999988
495,172,1370.18,2.90000000000009
496,172,1373.08,2.90000000000009
497,172,1375.98,2.90000000000009
498,172,1378.87,2.88999999999987
499,172,1381.74,2.87000000000012
500,175,1384.59,2.84999999999991
501,175,1387.44,2.84999999999991
502,175,1390.28,2.84000000000015
503,175,1393.11,2.82999999999993
504,175,1395.93,2.81999999999994
505,178,1398.75,2.82000000000016
506,178,1401.57,2.81999999999994
507,178,1404.4,2.82999999999993
508,178,1407.19,2.78999999999996
509,178,1409.99,2.79999999999995
510,177,1412.76,2.76999999999998
511,177,1415.5,2.74000000000024
512,177,1418.25,2.74999999999977
513,177,1420.96,2.71000000000026
514,177,1423.67,2.71000000000004
515,176,1426.38,2.70999999999981
516,176,1429.19,2.81000000000017
517,176,1432.05,2.85999999999967
518,176,1434.94,2.8900000000001
519,176,1437.87,2.93000000000006
520,176,1440.84,2.97000000000003
521,176,1443.84,2.99999999999977
522,176,1446.87,3.0300000000002
523,176,1449.9,3.02999999999997
524,176,1452.93,3.02999999999997
525,178,1455.96,3.02999999999997
526,178,1458.98,3.02000000000021
527,178,1462,3.01999999999998
528,178,1464.99,2.98999999999978
529,178,1467.98,2.99000000000001
530,176,1470.97,2.99000000000001
531,176,1473.97,3.00000000000023
532,176,1476.93,2.95999999999981
533,176,1479.9,2.97000000000025
534,176,1482.89,2.98999999999978
535,176,1485.86,2.97000000000003
536,176,1488.84,2.98000000000002
537,176,1491.83,2.99000000000001
538,176,1494.82,2.98999999999978
539,176,1497.78,2.96000000000026
540,176,1500.71,2.93000000000006
541,176,1503.63,2.91999999999985
542,176,1506.53,2.90000000000009
543,176,1509.42,2.8900000000001
544,176,1512.34,2.91999999999962
545,177,1515.33,2.99000000000024
546,177,1518.38,3.04999999999995
547,177,1521.46,3.07999999999993
